"Text";"Id"
"RT @jose_neumanne: Lula ataca porque não tem defesa: Petista acusa Bolsonaro de crime de que não tem provas, porque conta com imunidade gar…";"1194015550973845504"
"RT @isentoes2: Segundo O Globo, PGR Augusto Aras mantém atuação afinada com o Bolsonaro.

• Arquivou pedido de indenização a comunidades in…";"1194015548465651712"
"RT @BolsonaroSP: Muito se fala que o Nordeste apóia Lula e o PT.

A agenda do Presidente Jair Bolsonaro em Campina Grande desmente essa far…";"1194015548088233987"
"RT @revistaforum: Além de porta-voz do MBL, Dayrrel atua como assessor parlamentar do PSDB na Assembleia Legislativa de Minas Gerais - segu…";"1194015546490204161"
"vo ali no banheiro solta a família bolsonaro já volto";"1194015543679946752"
"RT @BrazilFight: URGENTE-BOLSONARO MANDA RECADO PARA LULA
'Temos uma Lei de Segurança Nacional que está aí para ser usada. Alguns acham que…";"1194015542811725824"
"RT @nomelouco33: “Com Bolsonaro já houve uma reunião em Osaka. Agora será uma conversa mais profunda. A agenda será fundamentalmente bilate…";"1194015542379765761"
"RT @esperondo: Cara, esse rolê do Bolsonaro de querer extinguir o DPVAT, puta merda...

O governo tá acabando com mais de 2 bilhões anuais…";"1194015541360517120"
"RT @Ro_Moller: 'Jair Bolsonaro bate o martelo e decide criar novo partido'. Onde eu assino??";"1194015539997396992"
"Bolsonaro libera R$ 20 milhões a cada deputado que votou contra a aposentadoria do trabalhador https://t.co/8RN7YCV9q7 via @iG";"1194015539376590850"
"RT @paula2ag: Se fosse Bolsonaro, já teria um bando de parlamentar esquerdista na porta do STF, da PGR, em cima das torres, gritando, blasf…";"1194015538751660033"
"RT @esperondo: Cara, esse rolê do Bolsonaro de querer extinguir o DPVAT, puta merda...

O governo tá acabando com mais de 2 bilhões anuais…";"1194015538596450305"
"RT @jkjmlovely_: bts se passasse 1 mês no Brasil :

namjoon : vo fazer o enem véi
hoseok : so o básico
jk : vo jogar free fire 
taehyung :…";"1194015538437148672"
"RT @BrazilFight: 'A palavra golpe é usada quando a esquerda perde', diz Bolsonaro sobre renúncia de Evo Morales à presidência da Bolívia ht…";"1194015538248404992"
"RT @apoliticadefato: Entrevistamos o Deputado @pauloganime e ele falou sobre a sua entrada na política, projetos, liberalismo de Macri e Go…";"1194015537107521541"
"RT @JacBolsonaro: Bolsonaro decidiu sair do PSL e criar um partido recomeçando do zero. Tem nosso total apoio. Será anunciado a criação de…";"1194015534796492801"
